secid,date,symbol,expiration,cp_flag,strike,best_bid,best_offer,implied_volatility,expiryindicator,amsettlement
108105.0,2020-06-15,SPX 200619C100000,2020-06-19,C,100000.0,2949.4,2971.3,,,1.0
108105.0,2020-06-15,SPX 200619C1000000,2020-06-19,C,1000000.0,2050.0,2071.4,,,1.0
108105.0,2020-06-15,SPX 200619C1100000,2020-06-19,C,1100000.0,1950.0,1971.4,,,1.0
108105.0,2020-06-15,SPX 200619C1150000,2020-06-19,C,1150000.0,1900.0,1921.4,,,1.0
108105.0,2020-06-15,SPX 200619C1200000,2020-06-19,C,1200000.0,1850.0,1871.4,,,1.0
108105.0,2020-06-15,SPX 200619C1225000,2020-06-19,C,1225000.0,1825.0,1846.4,,,1.0
108105.0,2020-06-15,SPX 200619C1250000,2020-06-19,C,1250000.0,1800.0,1821.4,,,1.0
108105.0,2020-06-15,SPX 200619C1275000,2020-06-19,C,1275000.0,1775.0,1796.4,,,1.0
108105.0,2020-06-15,SPX 200619C1300000,2020-06-19,C,1300000.0,1750.0,1771.4,,,1.0
108105.0,2020-06-15,SPX 200619C1325000,2020-06-19,C,1325000.0,1725.0,1746.4,,,1.0
108105.0,2020-06-15,SPX 200619C1350000,2020-06-19,C,1350000.0,1700.0,1721.4,,,1.0
108105.0,2020-06-15,SPX 200619C1375000,2020-06-19,C,1375000.0,1675.0,1696.4,,,1.0
108105.0,2020-06-15,SPX 200619C1400000,2020-06-19,C,1400000.0,1650.1,1671.4,,,1.0
108105.0,2020-06-15,SPX 200619C1425000,2020-06-19,C,1425000.0,1625.1,1646.4,,,1.0
108105.0,2020-06-15,SPX 200619C1450000,2020-06-19,C,1450000.0,1600.0,1621.4,,,1.0
108105.0,2020-06-15,SPX 200619C1475000,2020-06-19,C,1475000.0,1575.0,1596.4,,,1.0
108105.0,2020-06-15,SPX 200619C1500000,2020-06-19,C,1500000.0,1550.0,1571.4,,,1.0
108105.0,2020-06-15,SPX 200619C1525000,2020-06-19,C,1525000.0,1525.0,1546.4,,,1.0
108105.0,2020-06-15,SPX 200619C1550000,2020-06-19,C,1550000.0,1500.0,1521.4,,,1.0
108105.0,2020-06-15,SPX 200619C1575000,2020-06-19,C,1575000.0,1475.0,1496.4,,,1.0
108105.0,2020-06-15,SPX 200619C1600000,2020-06-19,C,1600000.0,1450.0,1471.4,,,1.0
108105.0,2020-06-15,SPX 200619C1625000,2020-06-19,C,1625000.0,1425.0,1446.4,,,1.0
108105.0,2020-06-15,SPX 200619C1650000,2020-06-19,C,1650000.0,1400.0,1421.4,,,1.0
108105.0,2020-06-15,SPX 200619C1675000,2020-06-19,C,1675000.0,1375.1,1396.4,,,1.0
108105.0,2020-06-15,SPX 200619C1680000,2020-06-19,C,1680000.0,1370.1,1391.4,,,1.0
108105.0,2020-06-15,SPX 200619C1690000,2020-06-19,C,1690000.0,1360.1,1381.4,,,1.0
108105.0,2020-06-15,SPX 200619C1700000,2020-06-19,C,1700000.0,1350.0,1371.4,,,1.0
108105.0,2020-06-15,SPX 200619C1710000,2020-06-19,C,1710000.0,1340.1,1361.4,,,1.0
108105.0,2020-06-15,SPX 200619C1720000,2020-06-19,C,1720000.0,1330.1,1351.4,,,1.0
108105.0,2020-06-15,SPX 200619C1725000,2020-06-19,C,1725000.0,1325.1,1346.4,,,1.0
