expiry,T,r,strike,side,type,dK,weight,mid,cp_flag
2020-07-13,0.07671232876712329,0.0,800.0,P,OTM,100.0,0.004073660714285714,0.075,P
2020-07-13,0.07671232876712329,0.0,900.0,P,OTM,100.0,0.0032186948853615517,0.1,P
2020-07-13,0.07671232876712329,0.0,1000.0,P,OTM,100.0,0.002607142857142857,0.125,P
2020-07-13,0.07671232876712329,0.0,1100.0,P,OTM,100.0,0.002154663518299882,0.15,P
2020-07-13,0.07671232876712329,0.0,1200.0,P,OTM,100.0,0.0018105158730158729,0.19999999999999998,P
2020-07-13,0.07671232876712329,0.0,1300.0,P,OTM,100.0,0.0015426880811496195,0.275,P
2020-07-13,0.07671232876712329,0.0,1400.0,P,OTM,100.0,0.0013301749271137026,0.35,P
2020-07-13,0.07671232876712329,0.0,1500.0,P,OTM,100.0,0.0011587301587301588,0.42500000000000004,P
2020-07-13,0.07671232876712329,0.0,1600.0,P,OTM,100.0,0.0010184151785714284,0.6,P
2020-07-13,0.07671232876712329,0.0,1700.0,P,OTM,100.0,0.0009021255561047948,0.8,P
2020-07-13,0.07671232876712329,0.0,1800.0,P,OTM,100.0,0.0008046737213403879,1.0,P
2020-07-13,0.07671232876712329,0.0,1900.0,P,OTM,100.0,0.0007222002374356944,1.35,P
2020-07-13,0.07671232876712329,0.0,2000.0,P,OTM,100.0,0.0006517857142857142,1.825,P
2020-07-13,0.07671232876712329,0.0,2100.0,P,OTM,100.0,0.0005911888564949789,2.475,P
2020-07-13,0.07671232876712329,0.0,2200.0,P,OTM,100.0,0.0005386658795749705,3.35,P
2020-07-13,0.07671232876712329,0.0,2300.0,P,OTM,75.0,0.00036963273021874154,4.65,P
2020-07-13,0.07671232876712329,0.0,2350.0,P,OTM,50.0,0.0002360473388087693,5.5,P
2020-07-13,0.07671232876712329,0.0,2400.0,P,OTM,37.5,0.0001697358630952381,6.6,P
2020-07-13,0.07671232876712329,0.0,2425.0,P,OTM,25.0,0.00011083612954162426,7.2,P
2020-07-13,0.07671232876712329,0.0,2450.0,P,OTM,25.0,0.00010858570833581244,7.949999999999999,P
2020-07-13,0.07671232876712329,0.0,2475.0,P,OTM,25.0,0.000106403136706167,8.75,P
2020-07-13,0.07671232876712329,0.0,2500.0,P,OTM,25.0,0.00010428571428571427,9.65,P
2020-07-13,0.07671232876712329,0.0,2525.0,P,OTM,25.0,0.0001022308737238646,10.65,P
2020-07-13,0.07671232876712329,0.0,2550.0,P,OTM,25.0,0.00010023617290053277,11.85,P
2020-07-13,0.07671232876712329,0.0,2575.0,P,OTM,25.0,9.829928766680581e-05,13.100000000000001,P
2020-07-13,0.07671232876712329,0.0,2600.0,P,OTM,25.0,9.641800507185122e-05,14.600000000000001,P
2020-07-13,0.07671232876712329,0.0,2625.0,P,OTM,25.0,9.459021703919662e-05,16.25,P
