date,days,rate
2020-06-15,7.0,0.11254
2020-06-15,28.0,0.189251
2020-06-15,63.0,0.261515
2020-06-15,91.0,0.277747
2020-06-15,126.0,0.285073
2020-06-15,154.0,0.28946
2020-06-15,182.0,0.293276
2020-06-15,273.0,0.30531
2020-06-15,364.0,0.288531
2020-06-15,455.0,0.27441
2020-06-15,546.0,0.264152
2020-06-15,637.0,0.25972
2020-06-15,728.0,0.255129
2020-06-15,826.0,0.254922
2020-06-15,917.0,0.257284
2020-06-15,1001.0,0.26291
2020-06-15,1099.0,0.270191
2020-06-15,1190.0,0.279365
2020-06-15,1281.0,0.290473
2020-06-15,1372.0,0.304138
2020-06-15,1463.0,0.318307
2020-06-15,1554.0,0.333782
2020-06-15,1645.0,0.350624
2020-06-15,1736.0,0.368885
2020-06-15,1827.0,0.387594
2020-06-15,1918.0,0.407169
2020-06-15,2009.0,0.427491
2020-06-15,2100.0,0.448464
2020-06-15,2191.0,0.469584
2020-06-15,2282.0,0.491239
2020-06-15,2373.0,0.512977
2020-06-15,2464.0,0.534791
2020-06-15,2555.0,0.556131
2020-06-15,2646.0,0.57722
2020-06-15,2737.0,0.598083
2020-06-15,2828.0,0.618416
2020-06-15,2926.0,0.639233
2020-06-15,3017.0,0.657966
2020-06-15,3108.0,0.676638
2020-06-15,3199.0,0.69511
2020-06-15,3290.0,0.71256
2020-06-15,3381.0,0.729343
2020-06-15,3472.0,0.745511
2020-06-15,3563.0,0.76124
2020-06-15,3654.0,0.776438
